frame,joint,mpjpe_mm_post_alignment
35,14,0.223973844390485
35,15,0.086028869046507
35,16,0.19973470433091606
36,4,0.32575764046751926
36,5,0.13029491761656575
36,6,0.1758606323723885
36,8,0.35183917152361244
36,10,0.41447413718243725
36,11,0.284844595414346
36,12,0.19365834077503477
36,13,0.18298963666764123
36,14,0.23898323639386698
36,15,0.12032899868822497
36,16,0.20417005284260237
37,0,0.1554777777382521
37,1,0.13921412269367117
37,2,0.17043227836873684
37,4,0.35809140108562443
37,5,0.11187336962706691
37,6,0.18871406315796696
37,7,0.31581449969318887
37,8,0.3937714407437184
37,9,0.15001106248690302
37,10,0.27075112765629256
37,11,0.2594727750565912
37,12,0.1819504049676997
37,13,0.16709768900414118
37,14,0.20996755127102248
37,15,0.09318979446996341
37,16,0.21416345041161353
38,4,0.3230215607401278
38,5,0.1221234712756941
38,6,0.17955629704452705
38,8,0.3908924993067387
38,10,0.40107515019821666
38,11,0.2922232350667914
38,12,0.19698948927859822
38,13,0.1804148873911134
38,14,0.22230073819045001
38,15,0.11892307301993348
38,16,0.2010659538304853
39,4,0.25721194961628574
39,5,0.1465742327710403
39,6,0.13854991450986062
39,7,0.26750847332689315
39,8,0.31528757216122977
39,10,0.41830121291692385
39,11,0.28943053280932673
39,12,0.19955152647263003
39,13,0.16831974901027894
39,14,0.21411324613998683
39,15,0.09392278395484513
39,16,0.16337733218427103
40,0,0.11323029293693057
40,1,0.12031261353320209
40,2,0.1730546829774086
40,5,0.06543752756481434
40,6,0.21724828981603986
40,7,0.3422980203872568
40,8,0.4203616257455785
40,9,0.17324248707362122
40,10,0.33734662110632413
40,11,0.26271856033861474
40,12,0.16714941735062364
40,13,0.16352379999677782
40,14,0.22026983648528717
40,15,0.06511450858338734
40,16,0.19613916750216737
41,0,0.12188322436946261
41,1,0.1252480513302066
41,2,0.16177205340056441
41,5,0.06959556709029795
41,6,0.21173767496540036
41,7,0.35038297603022683
41,8,0.4209225089068618
41,9,0.17011813653294733
41,10,0.32833989283698023
41,11,0.26268319486909236
41,12,0.1665364915650866
41,13,0.16462412948170205
41,14,0.21700817752570817
41,15,0.06304390218452315
41,16,0.19492312883698615
42,0,0.17242284532568214
42,2,0.11468528235920378
42,5,0.09230107866264181
42,6,0.16737503546815763
42,7,0.35789245479710596
42,8,0.41321467791039623
42,9,0.1331117468856736
42,10,0.30306175439268945
42,11,0.27353274615129114
